microtraits.pathways:aerobic_chemo_heterotrophy¦"aerobic chemo heterotrophy"¦"microtraits.pathways:aerobic_chemo_heterotrophy"¦"microtrait"¦BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|Mixin|NamedThing|Occurrent|OntologyClass|PhysicalEssenceOrOccurrent|ThingWithTaxon
microtraits.pathways:methanogenesis_acetoclastic¦"methanogenesis acetoclastic"¦"microtraits.pathways:methanogenesis_acetoclastic"¦"microtrait"¦BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|Mixin|NamedThing|Occurrent|OntologyClass|PhysicalEssenceOrOccurrent|ThingWithTaxon
microtraits.pathways:nitrite_reduction_to_ammonia¦"nitrite reduction to ammonia"¦"microtraits.pathways:nitrite_reduction_to_ammonia"¦"microtrait"¦BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|Mixin|NamedThing|Occurrent|OntologyClass|PhysicalEssenceOrOccurrent|ThingWithTaxon
microtraits.pathways:aminoacid_degradation¦"aminoacid degradation"¦"microtraits.pathways:aminoacid_degradation"¦"microtrait"¦BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|Mixin|NamedThing|Occurrent|OntologyClass|PhysicalEssenceOrOccurrent|ThingWithTaxon
microtraits.pathways:iron_reduction¦"iron reduction"¦"microtraits.pathways:iron_reduction"¦"microtrait"¦BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|Mixin|NamedThing|Occurrent|OntologyClass|PhysicalEssenceOrOccurrent|ThingWithTaxon
microtraits.pathways:iron_oxidation¦"iron oxidation"¦"microtraits.pathways:iron_oxidation"¦"microtrait"¦BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|Mixin|NamedThing|Occurrent|OntologyClass|PhysicalEssenceOrOccurrent|ThingWithTaxon
microtraits.pathways:pyrite_oxidation¦"pyrite oxidation"¦"microtraits.pathways:pyrite_oxidation"¦"microtrait"¦BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|Mixin|NamedThing|Occurrent|OntologyClass|PhysicalEssenceOrOccurrent|ThingWithTaxon
microtraits.pathways:pyrrhotite_oxidation¦"pyrrhotite oxidation"¦"microtraits.pathways:pyrrhotite_oxidation"¦"microtrait"¦BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|Mixin|NamedThing|Occurrent|OntologyClass|PhysicalEssenceOrOccurrent|ThingWithTaxon
microtraits.pathways:chalcopyrite_oxidation¦"chalcopyrite oxidation"¦"microtraits.pathways:chalcopyrite_oxidation"¦"microtrait"¦BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|Mixin|NamedThing|Occurrent|OntologyClass|PhysicalEssenceOrOccurrent|ThingWithTaxon
microtraits.pathways:covellite_oxidation¦"covellite oxidation"¦"microtraits.pathways:covellite_oxidation"¦"microtrait"¦BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|Mixin|NamedThing|Occurrent|OntologyClass|PhysicalEssenceOrOccurrent|ThingWithTaxon
